id,email,password_hash,name,role,created_at,updated_at
USR001,panjikusuma@rocketmail.com,hashed_97a0e92b6aa84aa29d0c,Panji Kusuma,user,2022-07-16 18:43:51,2023-05-07 18:43:51
USR002,catur.wibowo@protonmail.com,hashed_a85b6928280e49879ba7,Catur Wibowo,user,2022-03-26 13:09:54,2022-05-05 13:09:54
USR003,phandoko@rocketmail.com,hashed_7edbae876fd44ca2a967,Prio Handoko,user,2022-12-06 08:21:40,2023-10-27 08:21:40
USR004,anastasia222@icloud.com,hashed_b6a1970dd72c43af8e45,Gisella Anastasia,user,2023-11-08 01:56:29,2024-03-23 01:56:29
USR006,rezapahlevi@icloud.com,hashed_4872b1c67fa4463a8438,Reza Pahlevi,user,2022-02-24 08:23:03,2023-06-12 08:23:03
USR007,dian89@gmail.com,hashed_cb43e5b6f2604a09a570,Dian Sastro,user,2021-03-28 21:31:04,2021-07-23 21:31:04
USR008,amunandar@rocketmail.com,hashed_0af1359fc5934198a6ee,Aris Munandar,user,2021-04-13 19:41:24,2021-07-30 19:41:24
USR010,jensen517@outlook.com,hashed_3a84312ae34a425397a0,Olivia Jensen,user,2021-08-10 22:38:20,2021-12-23 22:38:20
USR011,fshidqia@ymail.com,hashed_02e45be363af40f9be88,Fatin Shidqia,user,2023-06-28 02:56:43,2024-02-02 02:56:43
USR012,bsaphira@outlook.com,hashed_9c2b7649f35f42e0b7b1,Bella Saphira,user,2021-08-03 21:22:52,2022-04-20 21:22:52
USR013,citra300@ymail.com,hashed_fed10ce2cacf45fdbf24,Bunga Citra,user,2021-08-26 10:20:14,2022-07-13 10:20:14
USR014,bcitra@icloud.com,hashed_43d9017d5a524572918d,Bunga Citra,user,2022-08-21 17:09:54,2023-03-04 17:09:54
USR015,yuki66@outlook.com,hashed_dd08a6af69154f8e84fc,Yuki Kato,user,2023-05-10 09:45:22,2024-07-23 09:45:22
USR018,zabidin@icloud.com,hashed_d6b3d9d456cc4ae8acbe,Zainal Abidin,user,2022-02-14 03:51:19,2023-06-26 03:51:19
USR019,kusuma163@icloud.com,hashed_74080c91c2d542b2b925,Hendra Kusuma,user,2023-08-30 08:52:51,2024-01-29 08:52:51
USR020,bastian270@protonmail.com,hashed_f951aab0b4c444109fff,Vino Bastian,user,2022-08-04 20:31:07,2023-08-29 20:31:07
USR021,persik67@outlook.com,hashed_171f567e3a5648d8aa2b,Dewi Persik,user,2021-01-01 21:19:18,2021-11-03 21:19:18
USR022,victor33@ymail.com,hashed_b31b5b9dec014dc493b2,Victor Nasution,user,2022-04-23 16:57:27,2022-08-23 16:57:27
USR023,aris.munandar@outlook.com,hashed_2f6369bb3bbc43769c64,Aris Munandar,user,2021-05-14 01:23:31,2022-05-23 01:23:31
USR024,yasminahmad@protonmail.com,hashed_d7c2c1abb3774da08080,Yasmin Ahmad,user,2021-07-15 08:41:30,2021-09-18 08:41:30
USR025,alfarizi746@yahoo.com,hashed_11b25e5b81f846f1894a,Daffa Alfarizi,user,2023-03-31 17:06:16,2024-06-19 17:06:16
USR026,santosa630@protonmail.com,hashed_5b8d47e3aad4413bad44,Willy Santosa,user,2023-12-08 16:07:46,2024-03-19 16:07:46
USR028,fikri.maulana@yahoo.com,hashed_963ba83733684ac28f07,Fikri Maulana,user,2021-04-10 11:03:30,2021-04-10 11:03:30
USR029,catur97@hotmail.com,hashed_ff0b638b493440b58754,Catur Wibowo,user,2021-04-21 06:48:50,2022-04-18 06:48:50
USR030,kevin.ardian@yahoo.com,hashed_3bd4b664e8044bed8fa9,Kevin Ardian,user,2022-05-29 07:16:01,2022-07-04 07:16:01
USR031,asmara477@protonmail.com,hashed_21c0fa2aa27f429eb6e3,Happy Asmara,user,2023-04-18 16:05:53,2023-06-24 16:05:53
